post,is_stress,stress_kind
hi! right now i'm struggling with financial problems since i just recently moved here.,1,Financial Problem
"hi, because of work pressure i got stressful. so, we relax to chat feel free",1,Work
"hi, how are you",0,Family Issues
"hi, i finished my project at work and waiting for something new.",1,Work
"hi, i'm upset with my husband hanging out with his drinking friends.",1,Family Issues
"hi, recently i've been stressed with my workload from school and work with little time.",1,School
"Hi, This COVID-19 pandemic is stressing me out lot. Not able to go out.",1,Emotional Turmoil
Hi. I have been stressed about the virus situation.,1,Other
hi. i have been stressing making ends meet this month. what about you?,1,Financial Problem
Hi. I've been stressing about making money.,1,Financial Problem
hi. just struggling a little bit with work,1,Work
hi. recently i have been stressing about a situation involving my child.,1,"Health, Fatigue, or Physical Pain"
hi.. how are you?,0,Emotional Turmoil
hiring speech judges.,0,Work
hmmm. let me think about that. this conflict with iran worries me.,1,Work
"holiday break ending for college, next semester is scary",1,School
holiday season,1,Other
home life is stressful. it's hard to take care of kids all day everyday.,1,Family Issues
home life sucksso many fights,1,Emotional Turmoil
homeschooling my kids because schools are closed,1,Family Issues
homework is killing me lately,1,Emotional Turmoil
homework is really stressing me out!,1,School
Homework is stressing me out,1,School
"homework, what are they doing at school if they are doing so much here.",1,School
"honestly i have been really stressed about my finances, i need another job..",1,Financial Problem
honestly not much,0,Other
Honestly right now the COVID-19,1,Work
"honestly, everyday i get stress out.",1,School
"honestly, my job has been super stressful",1,Work
"honestly, organizing social situations when most people are out of town or busy",1,Social Relationships
"honestly, school has been very stressful lately cause of my finals.",1,School
hope to pay my everday bills,1,Emotional Turmoil
hoping to beat the crazy shoppers that go shopping on black friday by shopping online,1,Other
hounded by robo calls,1,Other
HOUSE IS A MESS AND I AM TIRED,1,"Health, Fatigue, or Physical Pain"
how are you,0,Other
how are you feeling today?,0,Financial Problem
How are you holding up with stress?,0,Work
how busy i am at work.,1,Work
how can i help,0,Emotional Turmoil
how i have been eating this week.,1,Emotional Turmoil
how is your heath cotion no,0,Family Issues
how the coronavirus could damage the US economy,1,Financial Problem
how to get out of the relationship that i am in. i am tired of feeling used.,1,Emotional Turmoil
how to help my neighbor who is moving to pack up all her stuff,1,Social Relationships
how to improve my savings and pay off bills.,1,Financial Problem
"hubby's job has cut his hours, worried about next paycheck!",1,Financial Problem
"I am a stay-at-home mom with a toddler, this coronavirus thing has me scared for her.",1,Other
I am always having arguments with my girlfriend,1,Emotional Turmoil
i am anxious about whether my son is going to get a job offer.,1,Family Issues
i am applying to law schools but can't seem to focus on my application,1,School
i am buying a house and can't afford the $675 for an appraiser,1,Financial Problem
i am concerned about my success in this life. it's needed for us all.,1,Financial Problem
i am concerned about work slowing down and losing hours,1,Work
i am currently filing for unemployment and my student debt is not on hold,1,Financial Problem
"i am currently in a lot of debt, and can't go to school.",1,Financial Problem
I am currently stressed about the coronavirus and wheter I can work,1,Work
"i am currently stressed about the holidays coming up, and making sure everyone is happy.",1,Other
i am excited about getting a lot of money and i want to spend wisely.,0,Financial Problem
i am feeling stressed out,1,Everyday Decision Making
i am feeling stuck in my career.,1,Work
I am focusing on paying back a loan.,1,Financial Problem
I am frustrated about being laid off after next week.,1,Work
"i am frustrated, trying to plan a big meal and no one is cooperating.",1,Family Issues
i am going through a custody battle for my daughter.,1,Family Issues
i am going through a legal situation at my job.,1,Work
i am going to discuss about how she is handling with keeping her kids always busy in som,1,Work
i am good,0,Other
i am having 2 birthday parties this weekend and have lots to get done.,1,Other
i am having a baby soon. i need to clean out that room.,1,Emotional Turmoil
i am having a difficult day today with my mother in law who suffers from dementia.,1,Family Issues
I am having a hard time getting to work,1,Work
i am having car issues,1,Financial Problem
i am having difficulty finding motivation to study,1,School
i am having issues at work.,1,Work
i am having issues with how my daughter is behaving,1,Family Issues
i am having issues with my ex husband.  he is wanting to move from town and take our son,1,Family Issues
i am having money issues,1,Financial Problem
i am having money problems,1,Financial Problem
i am having problems at my apartment because my landlond won't fix anything.,1,Financial Problem
i am having roommate issues.,1,Emotional Turmoil
i am having some career and money troubles at the moment and i hate it,1,Emotional Turmoil
i am having some financial issues lately.,1,Financial Problem
I am having some issues with my girlfriend at home not giving me space.,1,Family Issues
i am having trouble baking this cake,1,Other
I am having trouble finding a job,1,Work
i am having trouble making ends meet and have to find a second job.,1,Financial Problem
I am having trouble making money with the new virus,1,Financial Problem
i am in an emotionally abusive relationship and things keep getting worse.,1,Emotional Turmoil
"I am in the last stretch of my professional school career, and things a rough!",1,School
I am in the middle of my grad studies and my sponsorship will not continue,1,School
i am just frustrated being stuck at home in our small house all day,1,Emotional Turmoil
i am just so fed up with the boss and his lack of intelligence,1,Work
i am little bit stress in my son study,1,Emotional Turmoil
i am lonely and don't know how to solve the problem of getting over my depression.,1,Emotional Turmoil
